k,c,freq,rms,variacao,mecanismo,oscilacao,amplitude_m,rms_harmonico,transmissibilidade
2100.0,200.0,0.6,0.131225,k,3,x,0.01,0.099902,1.3135372665211908
2100.0,200.0,0.7,0.1715,k,3,x,0.01,0.137821,1.2443676943281503
2100.0,200.0,0.8,0.214568,k,3,x,0.01,0.177426,1.2093379775230237
2100.0,200.0,0.9,0.267835,k,3,x,0.01,0.22688,1.180513928067701
2100.0,200.0,1.0,0.325156,k,3,x,0.01,0.279155,1.164786588096219
2100.0,200.0,1.1,0.388727,k,3,x,0.01,0.33664,1.1547261169201521
2100.0,200.0,1.2,0.463225,k,3,x,0.01,0.403739,1.147337760285729
2100.0,200.0,1.3,0.537778,k,3,x,0.01,0.469748,1.1448223302706984
2100.0,200.0,1.4,0.626,k,3,x,0.01,0.54827,1.1417732139274444
2100.0,200.0,1.5,0.717123,k,3,x,0.01,0.628098,1.1417374358778405
2100.0,200.0,1.6,0.813179,k,3,x,0.01,0.712912,1.1406442870929372
2100.0,200.0,1.7,0.922791,k,3,x,0.01,0.809216,1.1403518961562795
2100.0,200.0,1.8,1.02807,k,3,x,0.01,0.901631,1.1402336432531712
2100.0,200.0,1.9,1.14851,k,3,x,0.01,1.009191,1.138050180788374
2100.0,200.0,2.0,1.27049,k,3,x,0.01,1.116618,1.1378018265870689
2100.0,200.0,2.1,1.39365,k,3,x,0.01,1.228716,1.13423280888342
2100.0,200.0,2.2,1.53252,k,3,x,0.01,1.354252,1.131635766460009
2100.0,200.0,2.3,1.66201,k,3,x,0.01,1.473076,1.1282581482557585
2100.0,200.0,2.4,1.80637,k,3,x,0.01,1.609644,1.1222170865110546
2100.0,200.0,2.5,1.95171,k,3,x,0.01,1.744716,1.1186405122667529
2100.0,200.0,2.6,2.09327,k,3,x,0.01,1.884053,1.111046239145077
2100.0,200.0,2.7,2.25277,k,3,x,0.01,2.038847,1.10492351804721
2100.0,200.0,2.8,2.39867,k,3,x,0.01,2.184083,1.098250387004523
2100.0,200.0,2.9,2.55838,k,3,x,0.01,2.349628,1.0888447022252032
2100.0,200.0,3.0,2.71998,k,3,x,0.01,2.512391,1.0826260721360648
2100.0,200.0,3.1,2.87312,k,3,x,0.01,2.678924,1.0724902983436635
2100.0,200.0,3.2,3.04672,k,3,x,0.01,2.862999,1.064170822274126
2100.0,200.0,3.3,3.20419,k,3,x,0.01,3.034651,1.0558677093346154
2100.0,200.0,3.4,3.37434,k,3,x,0.01,3.229143,1.0449645618047885
2100.0,200.0,3.5,3.5485,k,3,x,0.01,3.419643,1.0376814187913768
2100.0,200.0,3.6,3.71059,k,3,x,0.01,3.613328,1.0269175674060034
2100.0,200.0,3.7,3.89589,k,3,x,0.01,3.82671,1.0180781924943358
2100.0,200.0,3.8,4.06422,k,3,x,0.01,4.024783,1.0097985406915104
2100.0,200.0,3.9,4.24469,k,3,x,0.01,4.248188,0.9991765901132437
2100.0,200.0,4.0,4.43253,k,3,x,0.01,4.466473,0.9924004913944403
2100.0,200.0,4.1,4.61164,k,3,x,0.01,4.687267,0.9838654380047052
2100.0,200.0,4.2,4.55791,k,3,x,0.01,4.929977,0.9245296681911497
2100.0,200.0,4.3,4.80315,k,3,x,0.01,5.154477,0.9318404175632173
2100.0,200.0,4.4,5.14241,k,3,x,0.01,5.406764,0.9511067988171853
2100.0,200.0,4.5,5.2971,k,3,x,0.01,5.65288,0.9370621700796763
2100.0,200.0,4.6,5.40025,k,3,x,0.01,5.900739,0.9151819797486382
2100.0,200.0,4.7,5.54116,k,3,x,0.01,6.172801,0.8976735196874158
2100.0,200.0,4.8,5.68797,k,3,x,0.01,6.423734,0.8854616333739848
2100.0,200.0,4.9,5.8765,k,3,x,0.01,6.704869,0.8764526197305271
2100.0,200.0,5.0,6.15268,k,3,x,0.01,6.978864,0.8816162630479689
2100.0,200.0,5.1,6.29078,k,3,x,0.01,7.253746,0.8672456962237167
2100.0,200.0,5.2,6.53376,k,3,x,0.01,7.555182,0.8648051099232288
2100.0,200.0,5.3,6.75838,k,3,x,0.01,7.832555,0.8628576498984047
2100.0,200.0,5.4,7.00661,k,3,x,0.01,8.142505,0.8604980899612589
2100.0,200.0,5.5,7.25763,k,3,x,0.01,8.444426,0.8594580614478711
2100.0,200.0,5.6,7.49732,k,3,x,0.01,8.746287,0.8572003182607659
2100.0,200.0,5.7,7.76631,k,3,x,0.01,9.077119,0.8555919559939669
2100.0,200.0,5.8,8.01115,k,3,x,0.01,9.38094,0.8539815839350854
2100.0,200.0,5.9,8.27678,k,3,x,0.01,9.719671,0.8515493991514734
2100.0,200.0,6.0,8.54302,k,3,x,0.01,10.049564,0.8500886207600649
2100.0,200.0,6.1,8.7963,k,3,x,0.01,10.378363,0.84756141214178
2100.0,200.0,6.2,9.0802,k,3,x,0.01,10.738612,0.8455655162883248
2100.0,200.0,6.3,9.33675,k,3,x,0.01,11.06889,0.8435127641525032
2100.0,200.0,6.4,9.6158,k,3,x,0.01,11.436366,0.8408090472095769
2100.0,200.0,6.5,9.89642,k,3,x,0.01,11.79428,0.8390864045961263
2100.0,200.0,6.6,10.1615,k,3,x,0.01,12.149974,0.8363392382568061
2100.0,200.0,6.7,10.4599,k,3,x,0.01,12.539661,0.8341453568800623
2100.0,200.0,6.8,10.7302,k,3,x,0.01,12.896404,0.8320303861448509
2100.0,200.0,6.9,11.0231,k,3,x,0.01,13.29259,0.8292665312027226
2100.0,200.0,7.0,11.3177,k,3,x,0.01,13.678574,0.8274034998092638
2100.0,200.0,7.1,11.5967,k,3,x,0.01,14.06112,0.8247351562322205
2100.0,200.0,7.2,11.9106,k,3,x,0.01,14.480264,0.8225402520285542
2100.0,200.0,7.3,12.1936,k,3,x,0.01,14.863483,0.8203729906375241
2100.0,200.0,7.4,12.5013,k,3,x,0.01,15.288343,0.8177014343542659
2100.0,200.0,7.5,12.8115,k,3,x,0.01,15.702444,0.8158920993445352
2100.0,200.0,7.6,13.103,k,3,x,0.01,16.111802,0.8132547805639617
2100.0,200.0,7.7,13.4324,k,3,x,0.01,16.560422,0.8111145959927832
2100.0,200.0,7.8,13.7303,k,3,x,0.01,16.970129,0.809086365813719
2100.0,200.0,7.9,14.052,k,3,x,0.01,17.423625,0.8064911865355228
2100.0,200.0,8.0,14.3769,k,3,x,0.01,17.865892,0.8047121296826377
2100.0,200.0,8.1,14.6831,k,3,x,0.01,18.302019,0.8022666788838979
2100.0,200.0,8.2,15.0279,k,3,x,0.01,18.780134,0.800201958090395
2100.0,200.0,8.3,15.3386,k,3,x,0.01,19.21634,0.7982061100084615
2100.0,200.0,8.4,15.6754,k,3,x,0.01,19.698435,0.7957688009225098
2100.0,200.0,8.5,16.0159,k,3,x,0.01,20.168918,0.7940882103839183
2100.0,200.0,8.6,16.3342,k,3,x,0.01,20.631772,0.791701265407547
2100.0,200.0,8.7,16.6947,k,3,x,0.01,21.1394,0.7897433228946896
2100.0,200.0,8.8,17.0203,k,3,x,0.01,21.602117,0.7878996303927064
2100.0,200.0,8.9,17.3708,k,3,x,0.01,22.112774,0.7855549918793543
2100.0,200.0,9.0,17.726,k,3,x,0.01,22.61152,0.783936683601987
2100.0,200.0,9.1,18.059,k,3,x,0.01,23.101062,0.7817389520880037
2100.0,200.0,9.2,18.4345,k,3,x,0.01,23.63822,0.7798599048490115
2100.0,200.0,9.3,18.773,k,3,x,0.01,24.127461,0.7780760685925469
2100.0,200.0,9.4,19.1385,k,3,x,0.01,24.66664,0.7758859739307826
2100.0,200.0,9.5,19.509,k,3,x,0.01,25.1937,0.7743602567308494
2100.0,200.0,9.6,19.8539,k,3,x,0.01,25.709888,0.772228179290396
2100.0,200.0,9.7,20.245,k,3,x,0.01,26.276592,0.7704575996765486
2100.0,200.0,9.8,20.5982,k,3,x,0.01,26.792372,0.7688083757570997
2100.0,200.0,9.9,20.9769,k,3,x,0.01,27.360035,0.7666985806121959
2100.0,200.0,10.0,21.3588,k,3,x,0.01,27.915457,0.765124497155823
2100.0,200.0,10.1,21.7216,k,3,x,0.01,28.458251,0.7632795142610836
2100.0,200.0,10.2,22.1271,k,3,x,0.01,29.054518,0.7615717459157297
2100.0,200.0,10.3,22.4929,k,3,x,0.01,29.596851,0.7599761204325419
2100.0,200.0,10.4,22.8862,k,3,x,0.01,30.192957,0.7579979662144386
2100.0,200.0,10.5,23.2858,k,3,x,0.01,30.776791,0.756602597067381
2100.0,200.0,10.6,23.6564,k,3,x,0.01,31.346151,0.7546827679098465
2100.0,200.0,10.7,24.0764,k,3,x,0.01,31.971995,0.7530465333802285
2100.0,200.0,10.8,24.4558,k,3,x,0.01,32.540897,0.7515404384826884
2100.0,200.0,10.9,24.8606,k,3,x,0.01,33.165406,0.7495943212635481
2100.0,200.0,11.0,25.2731,k,3,x,0.01,33.777703,0.7482184327335698
2100.0,200.0,11.1,25.6566,k,3,x,0.01,34.373588,0.7464044777635667
2100.0,200.0,11.2,26.0885,k,3,x,0.01,35.029025,0.7447680887492587
2100.0,200.0,11.3,26.4778,k,3,x,0.01,35.624512,0.7432466724035405
2100.0,200.0,11.4,26.8946,k,3,x,0.01,36.277382,0.7413600022184621
2100.0,200.0,11.5,27.3181,k,3,x,0.01,36.918192,0.7399631054521847
2100.0,200.0,11.6,27.709,k,3,x,0.01,37.540562,0.7381082893751031
2100.0,200.0,11.7,28.1518,k,3,x,0.01,38.225606,0.7364644526498809
2100.0,200.0,11.8,28.5511,k,3,x,0.01,38.847696,0.7349496351083473
2100.0,200.0,11.9,28.9749,k,3,x,0.01,39.528885,0.7330057500989466
2100.0,200.0,12.0,29.4076,k,3,x,0.01,40.198258,0.7315640394168323
2100.0,200.0,12.1,29.8076,k,3,x,0.01,40.847074,0.7297364800230245
2100.0,200.0,12.2,30.2581,k,3,x,0.01,41.561738,0.728027783631185
2100.0,200.0,12.3,30.6637,k,3,x,0.01,42.210449,0.7264480887185066
2100.0,200.0,12.4,31.0965,k,3,x,0.01,42.919915,0.7245238020625157
2100.0,200.0,12.5,31.5371,k,3,x,0.01,43.617901,0.7230311243083429
2100.0,200.0,12.6,31.942,k,3,x,0.01,44.293124,0.7211503076640068
2100.0,200.0,12.7,32.4013,k,3,x,0.01,45.03742,0.719430642341413
2100.0,200.0,12.8,32.8155,k,3,x,0.01,45.712771,0.7178628484368187
2100.0,200.0,12.9,33.2542,k,3,x,0.01,46.45047,0.7159066420641168
2100.0,200.0,13.0,33.7034,k,3,x,0.01,47.177122,0.7144013575054452
2100.0,200.0,13.1,34.1173,k,3,x,0.01,47.878712,0.7125776482876147
2100.0,200.0,13.2,34.5844,k,3,x,0.01,48.652653,0.7108430448797931
2100.0,200.0,13.3,35.0048,k,3,x,0.01,49.354663,0.7092501067224388
2100.0,200.0,13.4,35.4526,k,3,x,0.01,50.120552,0.707346559152022
2100.0,200.0,13.5,35.9093,k,3,x,0.01,50.87592,0.705821142890389
2100.0,200.0,13.6,36.327,k,3,x,0.01,51.603839,0.7039592538841926
2100.0,200.0,13.7,36.803,k,3,x,0.01,52.407436,0.7022476734026828
2100.0,200.0,13.8,37.2303,k,3,x,0.01,53.136126,0.7006589076516417
2100.0,200.0,13.9,37.6819,k,3,x,0.01,53.93016,0.6987166364794763
2100.0,200.0,14.0,38.1451,k,3,x,0.01,54.714295,0.6971688111854498
2200.0,200.0,0.1,0.0138232,k,3,x,0.01,0.002696,5.127299703264095
2200.0,200.0,0.2,0.029489,k,3,x,0.01,0.011463,2.57253773008811
2200.0,200.0,0.3,0.0477947,k,3,x,0.01,0.024664,1.9378324683749597
2200.0,200.0,0.4,0.0711045,k,3,x,0.01,0.045022,1.579327884145529
2200.0,200.0,0.5,0.0985676,k,3,x,0.01,0.069789,1.41236584562037
2200.0,200.0,0.6,0.131238,k,3,x,0.01,0.099902,1.3136673940461652
2200.0,200.0,0.7,0.171515,k,3,x,0.01,0.137821,1.244476531152727
2200.0,200.0,0.8,0.214584,k,3,x,0.01,0.177426,1.209428155963613
2200.0,200.0,0.9,0.267863,k,3,x,0.01,0.22688,1.180637341325811
2200.0,200.0,1.0,0.325196,k,3,x,0.01,0.279155,1.1649298776665293
2200.0,200.0,1.1,0.388786,k,3,x,0.01,0.33664,1.1549013783269964
2200.0,200.0,1.2,0.463312,k,3,x,0.01,0.403739,1.1475532460327091
2200.0,200.0,1.3,0.5379,k,3,x,0.01,0.469748,1.1450820439895435
